User Name,Thumbnail URL,Comment Time,Likes,Comment Text
Muhammad Yousuf,https://yt3.ggpht.com/ytc/AGIKgqPRaGRAPw0TFWJMFqGLy9QioJwQqXkN9p5su6nh0A=s48-c-k-c0x00ffffff-no-rj,6 months ago,0,is full stack development also  called  as softwere development ..ans must plz  .i by myself learning the front end development with bba degree which is still continue. would companies hire me ?
MR EDUCATOR,https://yt3.ggpht.com/Vz8R8gtdV8L1MYBy_2Zzvyfnz4GkP4SRbFfHt6L18ZjPtDlTdirFRioke-VtDKeaJcWNRDGsiw=s48-c-k-c0x00ffffff-no-rj,4 months ago,0,I DONE MY FSC WITH MEDICAL BUT AFTER FSC I WANT TO CHOOSE CS CAN I? OR KIN PROBLEMS KO FACE KARNA HO GA
motivational life,https://yt3.ggpht.com/St_6OPjKTV1izxBObTX_8jNh7O_kRd8pciVDQUdJbxAYxO-mKAUU0H9uKz8GMClpl-7mFWps_g=s48-c-k-c0x00ffffff-no-rj,6 months ago,0,Does Bs software engineering which is non pec has a good scope and future yor comments will be highly appreciated
Abdul Wahid,https://yt3.ggpht.com/ytc/AGIKgqPbReJs8ukyEcofIufA7SlvWdvp7BkZfJX5Wg=s48-c-k-c0x00ffffff-no-rj,8 months ago,0,Zubair sb thanks for this valuable introduction.
HAMMAD EHSAN,https://yt3.ggpht.com/mubACGP7scv41qknzVFMIFWSRCK5H_CbE4VKlYXoWbsfm7dWvPYu-ncRraMoCeylniv4OE8j=s48-c-k-c0x00ffffff-no-rj,7 months ago,0,"plzzzzzzzzz reply me!
Hello Sir, I am in a big fix that I want to become a Software Engineer.
 Recently I have completed my intermediate exams from Apex College.
So, I have applied in UNI of Education LHR for BScs. My name has come in 1st merit list 
so, guide me plz is BScs better for {software engineer} or Bsse better for {software engineer}"
Shumaila Naz,https://yt3.ggpht.com/ytc/AGIKgqN227kh0xNjVqOZM2gWh6C-Id2SU3FsIRVVPoFs=s48-c-k-c0x00ffffff-no-rj,1 year ago,1,Would you believe when i chose SE i even didn't know how to open a computer. And how to operate this .  Sb friends le rhi thi me bhi chli gai but it was great time..  And want to do MSSE now
M s A,https://yt3.ggpht.com/ytc/AGIKgqNXUk472TWibaCNntRvYOHHehVZUdP4j7TYZw=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,Can you tell me Ecat is necessary for software engineering??? please ...... as soon as possible please
memes 3idiots,,2 years ago,1,sir software engineering ki degree kis kis se proved honi chahiye
Haiqa Batool,,9 months ago,0,Is software eng recognized in pakistani universities
Mirza junaid,,11 months ago,0,Bro i have done my intermediate in commerce what education is required for software engineering can plz guid me god bless on you.
Muhammad Muteeb,,2 weeks ago,0,Which degree is best bs CS or bs Software engineering
SERIOUS Information,,5 months ago,0,if i want to make a programmer so in which subjects I have to strong ? and now I am in 12th class
Top Things,,1 year ago,0,Kindly suggest best universities in KARACHI for CS/SE
Moaz Ali 2.0,,1 year ago,0,Is comsats Islamabad or Lahore a good choice for S. E & Bs(CS) or Fast Faisalabad
하닌,,1 year ago,0,Sir can you pls make videos on Cybersecurity and Data Science as well ?
Talha Farhat,,1 year ago,0,Can you please tell me the idea of software engineer salary at careem... Experience holder software engineer
Hamid Chughtai,,2 years ago,1,MASHA ALLAH GOOD
zoh ahs,,1 year ago,0,Nice one you got a new subscriber many thanks!
Hamza Rauf,https://yt3.ggpht.com/klcve0mOoNv4rCSzBZZy9hxdEYkt1PSDpjonR4BOzKP40Px6J89OTXeY5ZPmIDE1xpOKrflPQw=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,IT Vs software engineer which one is best
Mohammad Raza,https://yt3.ggpht.com/ytc/AGIKgqPAVVgML14m_9_Xr6mNmszDLu2oqsdTw8vbOw=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,Sir if don't chose computer science in O level and wanted to chose computer science in A level so is it possible or not
Ahmad Jamil,https://yt3.ggpht.com/ytc/AGIKgqMu_g19lJj5JiQjWqHDafXpqSSQBx90t4gJAvQiJQ=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,Salam bro software ka liye uni Jana zaroori hui ya certified courses bhi sai rhta hai ?
Trending Musics,https://yt3.ggpht.com/Bm9NNlJSBOE5JE68XocOAoEOAe4YZ1WR0AwaoY971ijr3iK2XFPAMcysqC90gKom7AADG388xg=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,Sir after fsc i want to become software engineer  i don't know what to do now plz guide me
Malik Bilal,https://yt3.ggpht.com/ytc/AGIKgqOF9n0AzGa3ChGcOg_bHUTzPQCRC4IkbsqqcQ=s48-c-k-c0x00ffffff-no-rj,1 month ago,0,Can we start software engineering without doing graduation
Xehra,https://yt3.ggpht.com/rLYufeCcjcjivt5LWXmtfU_L5ij5ZCAxbHZgDeIwTpXGFGAdibeWuYeH_BPBDFLP5CSOAFjRsw=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,Sir I choose pre engineering and I wanna skip chemistry??  Or computer science rkhni hy tw kya kryn??
Ammar Riaz,https://yt3.ggpht.com/ytc/AGIKgqNvi0MJ4-DmTfU4ta_qBnV7MijLJKgjwWxmzcAc=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,Bhai many kuch din pehly he liya interest ismy but mree abhe covid ki vja sy matric b nhi ho prahi lekn can u guide me k is this field has any scope or something like  to b very challenging and interesting
Ali Ali,https://yt3.ggpht.com/ytc/AGIKgqPNKkKDkLbggoJvdYPPBiY3I55hYRg8HcsQJXO4-eRtlbHWISykMGsrGRb6RbJi=s48-c-k-c0x00ffffff-no-rj,6 months ago,0,What is selary of a software engineer in pakistan?
Talal Rashid,https://yt3.ggpht.com/ytc/AGIKgqPBaMTyJ4woFaWxyIZTjxQIJ5GCHh9psJ-Oji4Q=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,I am a disabled person looking for online software engineering university. Plz guide me
